Sample	Type1
A502N	Nodule
A502S	Sediment
A505S	Sediment
A506N	Nodule
A506S	Sediment
A509N	Nodule
A509S	Sediment
A5S03	Sediment
A5S04	Sediment
KW01	Sediment
KW101N	Nodule
KW101S	Sediment
KW12	Sediment
KW1S05	Sediment
KW1S08	Sediment
KW1S11	Sediment
KW1S15	Sediment
KW1S21	Sediment
KW23	Sediment
KW34	Sediment
KW45	Sediment
KW56	Sediment
KW67	Sediment
KW78	Sediment
KW89	Sediment
KW910	Sediment
PRZ1015	Sediment
PRZ12	Sediment
PRZ1520	Sediment
PRZ23	Sediment
PRZ34	Sediment
PRZ45	Sediment
PRZ56	Sediment
PRZ67	Sediment
PRZ78	Sediment
PRZ89	Sediment
PRZ910	Sediment
WS01	Sediment
WS1015	Sediment
WS12	Sediment
WS1520	Sediment
WS23	Sediment
WS34	Sediment
WS45	Sediment
WS56	Sediment
WS67	Sediment
WS78	Sediment
WS89	Sediment
WS910	Sediment
