,A5S03,A5S04,A502N,A502S,A505S,A506N,A506S,A509N,A509S,KW01,KW1S05,KW1S08,KW1S11,KW1S15,KW1S21,KW12,KW23,KW34,KW45,KW56,KW67,KW78,KW89,KW101N,KW101S,KW910,PRZ12,PRZ23,PRZ34,PRZ45,PRZ56,PRZ67,PRZ78,PRZ89,PRZ910,PRZ1015,PRZ1520,WS01,WS12,WS23,WS34,WS45,WS56,WS67,WS78,WS89,WS910,WS1015,WS1520
A502N_k141_648587_dvf_14999,0,0,976.9458,0,0,0,0,0,0,0.16784683,0,0,0,0,0,0,0.24466911,0.12762757,571.29895,497.58313,846.4004,451.62003,89.62088,0.087635376,0,807.0766,92.064995,203.19614,292.67758,503.6043,374.73672,1396.214,1425.1533,1268.5288,1185.9982,0,0,30.293089,73.703316,72.90804,61.71303,100.93367,87.74946,535.76935,1469.1318,1516.0929,340.0708,220.36758,86.25195
A502N_k141_356344_dvf_12844,0,0,82.12291,0,0,0,0,0,0,0.39201725,0,0,0,0,0,0,0,0,7.214632,19.750765,120.71953,85.158745,0.76490194,0,0,32.330517,0.6579675,1.2021245,1.2706842,7.3845778,1.6640239,15.824691,39.472923,56.691826,72.83016,0,0,1.0328685,0.16316484,0.084242165,0.2965737,0.6362676,0.32427943,104.84541,53.21721,44.54589,9.066412,2.8121953,1.3188996
A502N_k141_887536_dvf_20826,0,0,61.980034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7603214,10.505435,83.25985,112.23306,0.50711757,0,0,17.731068,0.28405142,0.54798025,0.16792883,3.5020306,0.4542427,6.64679,20.453907,28.97192,40.73637,0,0,2.38875,0.1006285,0.259773,0,0.098101184,0.19999255,106.36649,26.718279,22.78721,2.7650373,1.7658966,0.46166158
A502N_k141_593148_dvf_21207,0,0,54.437714,0,0,0,0,0,0,3.2052357,0,0,0,0,0,0.18786551,0.17304626,0.090266705,3.8435726,15.163765,80.471436,70.64082,0.49800685,0,0,228.09744,4.263922,2.975572,3.792973,3.180777,0.8260775,8.733812,321.95007,615.09436,726.6647,0,0.047020983,2.5022233,1.0870271,0.3231342,0.47898555,0.28901616,0.6606166,64.974884,145.60617,184.61702,3.1377509,1.6103015,0.9211276
A502N_k141_3116_dvf_12472,0,0,65.189926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4766068,9.980901,83.57519,80.53525,0.41355118,0,0,19.504948,0.2032778,0.26912606,0.81007624,3.5141482,0.58994734,7.464432,19.031029,33.62391,34.70263,0,0,1.5955135,0.084015764,0.05783656,0.20361303,0.21841516,0.12143696,46.861725,34.149544,28.650488,2.9754746,2.0535796,0.6730009
A502N_k141_1064642_dvf_11284,0,0,61.629383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9539478,16.213268,108.444626,118.7655,0.56592166,0,0,22.251268,0.5242515,0.23796812,0.37880725,4.8855,0.5278565,10.971603,28.158384,38.843624,41.995293,0,0,2.3513227,0.09286109,0.03196285,0,0.12070515,0.26844412,181.89394,40.119144,27.063038,3.5155475,1.9787863,1.501236
A502N_k141_417175_dvf_12063,0,0,103.2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A502N_k141_770221_dvf_15513,0,0,98.39642,0,0,0,0,0,0,1.9474257,0,0,0,0,0,0.7704629,1.6559366,0.49359527,11.39363,27.659704,127.22534,77.429985,1.7732432,0,0,34.35681,2.6693473,2.812804,4.4587474,15.031334,9.757038,24.821655,49.08366,55.388916,68.61153,0.18878491,0,4.7034035,2.0939329,0.83698034,0.69572043,1.492595,1.1471734,82.36969,66.24683,51.00098,10.228696,4.487383,2.1741302
A502N_k141_830059_dvf_11977,0.03444049,0,146.38623,0,0,219.38557,0,0,0,0,0,0,0,0,0,0,0,0,5.0862885,15.905058,79.106865,62.01242,0.9433131,465.19122,0,18.621681,1.411194,1.9056921,2.530668,6.1752124,2.5743327,17.539965,30.386936,33.431026,30.788332,0,0,1.6614548,0.9623688,0.7227228,0.6360846,0.9097683,0.885191,117.97319,28.276665,28.896765,5.448996,2.741606,1.2359837
A502N_k141_595302_dvf_20013,0,0,131.62912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.897118,63.943962,234.0076,122.203606,4.197203,0,0,92.94618,3.50486,6.0713916,8.2327,28.127806,8.263421,89.0417,138.08249,190.0878,184.66653,0,0,13.5889845,2.7226262,2.162607,1.8081912,3.13065,3.3866305,136.95232,156.52437,156.65955,35.679302,18.835745,6.7181973
A502N_k141_947922_dvf_15099,0,0,1004.6711,0,0,0.49089843,0,0,0,0.1667352,0,0,0,0,0,0.26386276,0.2430487,0.1267823,634.22833,571.1102,998.9267,719.44403,100.07239,0.021763744,0,924.0439,116.19405,248.62276,350.18927,554.80865,400.54175,1477.7743,1777.9432,1694.5712,1482.8506,0,0,57.768738,89.662575,77.44144,68.45227,122.0953,102.59078,922.12396,1609.8599,1785.2052,440.19806,277.06033,104.27839
A502N_k141_182965_dvf_11632,0,0,1176.8666,0,0,0,0,0,0,0,0,0,0,0,0,0.34250894,0,0,713.13696,659.44977,1182.0372,656.9043,112.09969,0,0,935.0978,127.432434,256.81918,358.55466,586.0295,416.91077,1689.9059,1725.4762,1562.7306,1480.9331,0,0.042863395,60.44589,93.68624,92.182625,75.21016,125.231995,113.898125,962.63245,1756.0151,1822.5277,527.1774,298.89087,116.282776
A502N_k141_478941_dvf_16865,0,0,65.37345,0,0,0,0,0,0,0.5971028,0,0,0,0,0,0,0,0,5.494499,15.656821,90.436905,76.35976,0.59709525,0,0,22.98616,0.6013117,1.1543394,1.0138063,5.745745,1.5789099,12.282933,34.527775,46.5468,54.345764,0,0,1.9665226,0.24852526,0.08554255,0.112931885,0.5653281,0.24696383,139.28854,37.06674,32.218475,5.3872404,2.1417038,0.9953948
A502N_k141_1011213_dvf_14128,0,0,246.00809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9332,102.127495,347.0051,299.96756,6.8147745,0.27911445,0,100.41525,6.81913,10.643617,20.050976,53.925667,29.487041,112.469925,143.31798,173.95973,169.39351,0,0,7.5119834,3.634229,4.16117,4.3139215,6.170043,5.4941454,624.165,183.70059,170.2382,48.820526,21.243134,8.555267
