,K00008,K00010,K00012,K00067,K00287,K00297,K00320,K00390,K00463,K00472,K00568,K00615,K00621,K00655,K00657,K00677,K00763,K00820,K00858,K00859,K00952,K00954,K00969,K00979,K01495,K01627,K01654,K01710,K01711,K01784,K01790,K01791,K01845,K01854,K01858,K01912,K01916,K01950,K01953,K01990,K02078,K02169,K02293,K02446,K02473,K02536,K02843,K03183,K03271,K03273,K03274,K03462,K04042,K04103,K06041,K06167,K06217,K06859,K07260,K08281,K11003,K13010,K13018,K13522,K15634,K15894,K15899,K16011,K18062,K18981,K21029,K22227
A5S03,5.148852,0.10141523,0.149669455,7.5265335,1.63028296,385.007416,19.248745,6.686873648,0,0.976610216,50.15213977,30.74645,0.113395154,0.253247,0,0,40.7709442,1.40465173,11.2690997,0.253247,11.7345827,0.253247,27.2966486,0.041189011,0.331177916,0.021460019,0.10141523,0,16.53989922,0.562190024,0.09188172,0.07711985,0.10141523,0,0.007275407,0,39.075759,0,0.007275407,0.013333692,10.684045,1.1250892,0.08791246,0,0.44879487,0,27.75497,50.04494,0,0.009697522,0,176.2372422,0.113395154,0,11.26115,0,13.14099155,0,0.34198147,12.60412981,0.81401974,0,0,29.01897294,13.41354,0.10141523,93.730986,0.7378446,13.525545,1.39439546,0.34198147,0
A5S04,21.391953,76.645485,0.234265216,1.938500294,92.938442,514.28584,25.58344,0.41007588,0,5.46851896,0.487920797,36.039635,0.22486202,0.255513,0,45.880497,12.36674797,27.50830854,20.621568,0.255513,15.8652055,0.255513,65.747155,0.07149259,25.14183502,0.07149259,76.645485,25.516548,43.02351015,61.73875902,0.017491294,0.11204008,76.645485,0,0,0,12.168751,0,0,0.02538302,0.32652777,3.9401119,0.22404215,0,61.513897,45.880497,15.961011,0.26020697,0.0728301,39.41409,0,100.8346504,0.22486202,0,16.833992,0.006435297,42.61507343,0,0.58998835,44.394068,0.524677681,0,0,89.33546777,7.4100275,76.645485,37.876073,58.50896,0,0.20336887,0.58998835,0
A502N,0,0,0,0,0,0,0,0,29.448349,0,0,0,0,0,21.409784,0,29.448349,0,0,0,0,29.448349,29.448349,0,0,0,0,0,0,0,0,0,0,0,0,29.448349,0,29.448349,37.5706,0,0,0,0,29.448349,0,0,0,0,0,0,17.612864,0,0,29.448349,0,1.9998623,29.448349,0,0,29.448349,0,29.448349,0,0,0,0,0,0,0,0,0,0
A502S,3.363821,0.13616914,1.44635414,111.8229566,0.32335241,616.77927,54.854866,0.32082051,3.0571108,0.23711158,0.44169474,19.76865,0.5921007,0.60752386,0,0.018936532,4.01910431,2.506234918,22.41237507,0.60752386,25.093173,3.66463466,3.310623975,0,0.16141093,0,0.13616914,0,1124.880363,0.5921007,0.06579658,0.23979534,0.13616914,0,0,3.0571108,0.74124951,3.0571108,0,0,0.019108027,2.7932682,0.44169474,3.0571108,0,0.018936532,3.1702232,0,0,0,1.8029168,221.7434076,0.5921007,3.0571108,26.072697,0,10.27786596,0,0.07652914,4.9217199,0,3.0571108,1.9007119,8.320641325,0.13086441,0.13616914,12.3548095,0.050321065,0,0.070989885,0.07652914,0
A505S,5.960704,0.105565354,99.91382774,134.0736643,0.141651358,220.052848,29.383917,1.18242726,1.9510859,0.56794475,0.226328165,15.278812,0.034973487,74.77631,0,0,3.288517955,251.9998958,12.54666708,74.77631,17.691734,76.7273959,2.6982205,98.79351,0.11947994,0,0.105565354,0,13.98352976,0.058702275,132.96323,0.98396486,0.105565354,0,107.67985,1.9510859,1.21898943,1.9510859,107.67985,0,0.114835927,1.5320445,0.104957744,1.9510859,0.023728788,0,17.789219,0.11423208,0,0,1.0970739,68.77740229,0.034973487,1.9510859,15.762893,0,13.32448821,0,0.079105794,2.65289882,0.24305004,1.9510859,76.55523,185.2696371,0.27054098,0.105565354,128.125816,0.11703447,0,0.13179414,0.079105794,0
A506N,0,0,0.018763175,0,0,0,0.48503214,0,69.023506,0,0.017328622,0.050565723,0,0,89.202675,0,69.023506,0.07283164,0,0,0,69.023506,69.023506,0.23633939,0,0,0,0,0.097340904,0,0,0,0,0,0,69.023506,0,69.023506,0,0,0,0.026489334,0,69.023506,0,0,0,0,0,0,41.93011,0.203933948,0,69.023506,0,7.618218,69.14840196,0,0,69.023506,0,69.023506,0,0.018763175,0,0,0.4850078,0,0,0,0,0
A506S,16.257553,0,35.43765078,12.97671092,0.36773273,228.084058,91.75172,1.6079523,3.1577759,1.970437073,0.17373478,37.819775,0.14472757,15.068616,0,0,13.2663227,33.68896718,19.290979,15.068616,24.909332,18.2263919,5.50869575,0.11331156,0.027617652,0,0,0,19.93604731,0.58660353,0,0.91694367,0,0,0,3.1577759,7.9173315,3.1577759,0,0,0,0.12192153,0.17373478,3.1577759,0.44187596,0,7.472249,0,99.61049,0,2.240858,59.29027067,0.14472757,3.1577759,25.359592,0,20.2615362,0,0.24551718,9.0470629,0,3.1577759,0,58.80364695,10.635772,0,111.459193,0.32287535,0,0.062929794,0.24551718,0
A509N,0,0,0.07593751,0,0,0.092032532,0,0,134.02013,0,0,0.8665935,0,0.0574739,0,0,134.02013,0.2179372,0.12717487,0.0574739,0,134.0776039,134.02013,0,0,0,0,0,0,0,0,0,0,0,0,134.02013,0,134.02013,0,0,0,0,0,134.02013,0,0,0.1072535,0,0,0,90.08059,0.152419375,0,134.02013,0,0.04367073,134.2035982,0,0,134.02013,0,134.02013,0,0.13341141,0,0,0.54320924,0,0,0,0,0
A509S,7.8582783,0.49483308,6.71756636,1.4465021,2.05978305,1165.23483,84.840706,1.9078127,10.436119,2.85798812,0.42894936,37.319756,0.13832162,2.9161634,0,0,24.47203367,11.33330127,47.0284395,2.9161634,48.92449,13.3522824,13.6192969,0.30568204,0.087984115,0.2094188,0.49483308,0,22.73908382,1.26450182,0,0,0.49483308,0,0,10.436119,13.6639138,10.436119,0,0,10.311512,1.0875667,0.42894936,10.436119,1.1261802,0,29.624044,0,0,0,5.989267,159.4046989,0.13832162,10.436119,52.5688,0,41.49943421,0,0.8343113,22.254053,0.0696812,10.436119,0,35.91919884,9.451674,0.49483308,99.886364,1.3371981,0,1.65604079,0.8343113,0
KW01,3.4254198,0.1934244,0.034615993,11.48464135,0.52753925,643.79701,31.54647,0,0,0.340625785,0.034615993,57.96497,0.115345664,0.061824746,0,0,6.9298583,0.441093,21.6660673,0.061824746,26.676454,0.061824746,0.3002145,0,0,0,0.1934244,0.30020684,1.67712935,1.132720964,0,0,0.1934244,0,0,0,6.797732,0,0,0,4.1039324,6.4131937,0.034615993,0,1.0173753,0,20.953722,0,0,0.059185974,0,43.7745739,0.115345664,0,24.782135,0,18.75865003,0,0,6.90414118,0,0,0,5.107110746,8.030413,0.1934244,21.6537087,0.3002145,0,0.06687212,0,0
