contig	Habitate
A5S03_k141_3419817_dvf_42517	SO
A5S04_k141_11169583_dvf_22766	SO
KW1S08_k141_11359273_dvf_114377	SO
KW1S08_k141_8244207_dvf_42007	SO
KW89_k141_243966_dvf_232349	SO
KW910_k141_257395_dvf_100479	SO
PRZ23_k141_870545_dvf_199690	SO
KW12_k141_959076||full_vs2_56203	SO
KW1S08_k141_1527803||full_vs2_11415	SO
KW1S08_k141_13773545_flag=1_multi=8.8763_len=20288_vibrant_20288	SO
KW1S15_k141_2725723_flag=1_multi=7.0000_len=13704_vibrant_13704	SO
A502N_k141_680484_dvf_762977	Both
KW101N_k141_76725_dvf_55217	Both
KW101N_k141_57078_dvf_762729	Both
KW101N_k141_125131_dvf_57732	Both
KW101N_k141_18479_dvf_37544	Both
KW101N_k141_202198_dvf_61089	Both
KW1S08_k141_11743806_dvf_12819	Both
KW89_k141_1192183_dvf_414497	Both
KW89_k141_1121829_dvf_208005	Both
PRZ12_k141_1117500_dvf_123241	Both
PRZ12_k141_635923_dvf_281039	Both
PRZ23_k141_1444037_dvf_239780	Both
PRZ34_k141_1991446_dvf_219317	Both
PRZ34_k141_2172522_dvf_426755	Both
PRZ34_k141_350239_dvf_676320	Both
PRZ34_k141_1500226_dvf_328133	Both
PRZ45_k141_1355025_dvf_276425	Both
PRZ56_k141_1620461_dvf_558023	Both
PRZ56_k141_1555332_dvf_697953	Both
PRZ56_k141_1042071_dvf_577533	Both
WS1520_k141_476787_dvf_639242	Both
WS1520_k141_1143740_dvf_375379	Both
WS56_k141_1204722_dvf_503056	Both
WS56_k141_2848471_dvf_617678	Both
A506N_k141_124500||full_vs2_29574	Both
A506S_k141_3607979||full_vs2_27837	Both
A509N_k141_208383||0_partial_vs2_71283	Both
A509N_k141_2897||0_partial_vs2_128464	Both
A5S03_k141_4970993||full_vs2_10976	Both
KW101N_k141_200959||0_partial_vs2_18174	Both
KW101S_k141_4860981||full_vs2_10035	Both
KW1S15_k141_2282949||full_vs2_13672	Both
KW45_k141_1149532||full_vs2_10365	Both
WS1520_k141_1469093||full_vs2_105342	Both
WS23_k141_149315||0_partial_vs2_95158	Both
WS34_k141_2470093||full_vs2_72070	Both
KW101N_4	NO
A506N_7	Both
A509N_1	NO
WS23_512	SO
WS1520_477	SO
WS45_603	Both
WS1520_491	SO
A506N_9	NO
WS45_610	Both
KW67_353	SO
WS45_580	SO
