OD600,Time,Strain
0.67693,8,pUC19
0.70913,8,pUC19
0.69122,8,pUC19
0.94952,8,pUC19-czcD
1.00202,8,pUC19-czcD
0.88696,8,pUC19-czcD
0.85305,12,pUC19
0.84386,12,pUC19
0.86538,12,pUC19
1.1808,12,pUC19-czcD
1.116,12,pUC19-czcD
1.0332,12,pUC19-czcD
0.85754,16,pUC19
0.88413,16,pUC19
0.88102,16,pUC19
1.27922,16,pUC19-czcD
1.17196,16,pUC19-czcD
1.15724,16,pUC19-czcD
0.83887,20,pUC19
0.86438,20,pUC19
0.88445,20,pUC19
1.26263,20,pUC19-czcD
1.2943,20,pUC19-czcD
1.21609,20,pUC19-czcD
0.82531,24,pUC19
0.87129,24,pUC19
0.84082,24,pUC19
1.16821,24,pUC19-czcD
1.19383,24,pUC19-czcD
1.17991,24,pUC19-czcD
