OD600,Time,Strain
0.01858,8,pUC19
0.01718,8,pUC19
0.0192,8,pUC19
0.03665,8,pUC19-czcD
0.24632,8,pUC19-czcD
0.22396,8,pUC19-czcD
0.02983,12,pUC19
0.09037,12,pUC19
0.0892,12,pUC19
0.8215,12,pUC19-czcD
1.03519,12,pUC19-czcD
0.8848,12,pUC19-czcD
0.25635,16,pUC19
0.59515,16,pUC19
0.5315,16,pUC19
1.21134,16,pUC19-czcD
1.07068,16,pUC19-czcD
1.31761,16,pUC19-czcD
1.05018,20,pUC19
0.91844,20,pUC19
0.91635,20,pUC19
1.3129,20,pUC19-czcD
1.42512,20,pUC19-czcD
1.19818,20,pUC19-czcD
1.06286,24,pUC19
1.03532,24,pUC19
1.01541,24,pUC19
1.30413,24,pUC19-czcD
1.56699,24,pUC19-czcD
1.39591,24,pUC19-czcD
