OD600,Time,Strain
0.7475,8,pUC19
0.7664,8,pUC19
0.63836,8,pUC19
1.0004,8,pUC19-yfmO
1.105,8,pUC19-yfmO
1.04,8,pUC19-yfmO
0.79311,12,pUC19
0.81073,12,pUC19
0.78548,12,pUC19
1.12464,12,pUC19-yfmO
1.04581,12,pUC19-yfmO
1.23295,12,pUC19-yfmO
0.82072,16,pUC19
0.85238,16,pUC19
0.8453,16,pUC19
1.24202,16,pUC19-yfmO
1.12439,16,pUC19-yfmO
1.20114,16,pUC19-yfmO
0.87403,20,pUC19
0.86003,20,pUC19
0.84232,20,pUC19
1.33348,20,pUC19-yfmO
1.22835,20,pUC19-yfmO
1.20086,20,pUC19-yfmO
0.89333,24,pUC19
0.8941,24,pUC19
0.85518,24,pUC19
1.35081,24,pUC19-yfmO
1.29553,24,pUC19-yfmO
1.29468,24,pUC19-yfmO
